UEI,Start_Date,End_Date,Duration(Days),Main Cause,Location,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source
UEI-IMD-FL-2013-0049,9/13/2013,9/13/2013,0,Heavy rains (Cloud burst),Shopian,JAMMU & KASHMIR,NA,NA,NA,NA,1,NA,NA,NA,One person died and other injured in Haapat Nar Keller area.,NA,IMD
UEI-IMD-FL-2013-0050,8/19/2013,8/19/2013,0,Heavy rains,Deoghar,JHARKHAND,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,NA,IMD
UEI-IMD-FL-2013-0051,2/10/2013,2/10/2013,0,Heavy rains,Ranchi,JHARKHAND,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,i) Few kachcha houses collapsed. ii) Many trees uprooted disrupting power and road communication.,IMD
UEI-IMD-FL-2013-0052,5/31/2013,5/31/2013,0,Heavy rains,Bangalore Urban,KARNATAKA,NA,NA,NA,NA,1,NA,NA,NA,One died due to wall collapse.,NA,IMD
UEI-IMD-FL-2013-0053,5/6/2013,5/6/2013,0,Heavy rains,Belgaum,KARNATAKA,NA,NA,NA,NA,1,NA,NA,NA,One woman died as a tree fell on her.,NA,IMD
UEI-IMD-FL-2013-0054,10/6/2013,6/18/2013,Diffing the dates,Heavy rains,Dakshina Kannada,KARNATAKA,NA,NA,NA,NA,8,6,NA,NA,"4 persons died, 4 others washed and 6 others injured.",i) Low lying areas flooded. ii) Trees/electricity poles uprooted causing disruption in road traffic and power communication.,IMD
UEI-IMD-FL-2013-0055,2/7/2013,5/7/2013,89,Heavy rains,"Belgaum, Dakshina Kannada, Honavar and Kodagu",KARNATAKA,NA,NA,NA,NA,7,NA,NA,NA,3 persons died and 4 others washed away.,i) Low lying areas flooded. ii) Trees/electricity poles uprooted causing disruption in road traffic and power communication.,IMD
UEI-IMD-FL-2013-0056,7/15/2013,7/15/2013,0,Heavy rains,Bellary and Shimoga,KARNATAKA,NA,NA,NA,NA,2,NA,NA,NA,2 persons washed away.,NA,IMD
UEI-IMD-FL-2013-0057,7/20/2013,7/20/2013,0,Heavy rains,Davanagere,KARNATAKA,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,NA,IMD
UEI-IMD-FL-2013-0058,7/25/2013,7/25/2013,0,Heavy rains,Uttara Kannada,KARNATAKA,NA,NA,NA,NA,NA,NA,NA,NA,One person washed away.,NA,IMD
UEI-IMD-FL-2013-0059,1/8/2013,1/8/2013,0,Heavy rains,Kodagu,KARNATAKA,NA,NA,NA,NA,1,NA,NA,NA,One person died.,NA,IMD
UEI-IMD-FL-2013-0060,5/8/2013,5/8/2013,0,Heavy rains,Udupi,KARNATAKA,NA,NA,NA,NA,1,NA,NA,NA,One woman died due to wall collapse.,NA,IMD
UEI-IMD-FL-2013-0061,11/9/2013,9/20/2013,Diffing the dates,Heavy rains,"Banglore Urban, Belgaum, Bidar, Davanagere, Gadag, Gulbarga, Koppal, Raichur and Tumkur",KARNATAKA,NA,NA,NA,NA,19,NA,NA,NA,9 persons died due to wall collapse and 10 others washed away.,NA,IMD
UEI-IMD-FL-2013-0062,9/3/2013,9/3/2013,0,Heavy rains,Wayand,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) Around 10,000 banana, coconut, arecanut plantations damaged. ii) Damage to crops worth lakhs rupees reported.",IMD
UEI-IMD-FL-2013-0063,12/3/2013,12/3/2013,0,Heavy rains,Kannur,KERALA,NA,NA,NA,NA,NA,NA,NA,4500,"About 4,500 hens perished.",Damage to farm equipments of worth 12 lakhs rupees reported.,IMD
UEI-IMD-FL-2013-0064,3/26/2013,3/26/2013,0,Heavy rains,Thiruvananthapuram,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Low lying areas submerged. ii) Number of electric poles/trees uprooted causing traffic and vehicular disruption. iii) Heavy damage to Govt. Ayurveda Hospital and post office buildings reported.,IMD
UEI-IMD-FL-2013-0065,3/29/2013,3/31/2013,2,Heavy rains,Wayanad,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Thousands of Banana plantations and other crops uprooted. ii) Loss worth lakhs rupees reported.,IMD
UEI-IMD-FL-2013-0066,4/26/2013,4/28/2013,2,Heavy rains,Wayanad,KERALA,NA,NA,NA,NA,NA,2,NA,NA,2 persons injured.,"i) Acres of banana plantations, paddy and vegetables damaged. ii) Damage to several houses reported. iii) Trees uprooted causing disruption in road traffic and power supply reported.",IMD
UEI-IMD-FL-2013-0067,3/5/2013,7/5/2013,122,Heavy rains,Wayanad,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) Damage to thousands of banana, rubber and mango plantations reported. ii) Number of villages inundated.",IMD
UEI-IMD-FL-2013-0068,5/5/2013,5/5/2013,0,Heavy rains,Thiruvananthapuram,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Several villages inundated. ii) Few houses damaged. iii) Many trees including rubber plantations uprooted. iv) Mango orchards completely damaged. v) Cattle sheds inundated. vi) Loss worth 3.5 crore rupees reported.,IMD
UEI-IMD-FL-2013-0069,2/6/2013,6/6/2013,120,Heavy rains,Thiruvananthapuram.,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) Extensive damage to banana, rubber, coconut reported. ii) Few houses partially damaged.",IMD
UEI-IMD-FL-2013-0070,8/6/2013,8/6/2013,0,Heavy rains,Thiruvananthapuram and Thrissur,KERALA,NA,NA,NA,NA,NA,1,NA,NA,One person injured.,"Thiruvananthapuram: i) Several crops submerged. ii) About 300 houses submerged and more than 100 houses damaged. iii) Around 150 people shifted relief camps. iv) Several trees uprooted and fell over several buildings, houses, roads causing disruption in traffic and power supply. Thrissur: i) More than 80 houses partially damaged. ii) Several houses flooded. iii) People shifted to relief camps. iv) Number of coconut trees uprooted.",IMD
UEI-IMD-FL-2013-0071,8/6/2013,6/16/2013,Diffing the dates,Heavy rains,Wayanad,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"About 20,500 banana plantations damaged.",IMD
UEI-IMD-FL-2013-0072,11/6/2013,6/26/2013,Diffing the dates,Heavy rains,Thiruvananthapuram.,KERALA,NA,NA,NA,NA,7,NA,NA,NA,7 persons died and few others injured in different incidences.,"i) About 3,000 houses partially and 500 completely damaged. ii) Extensive damage to the banana, rubber, bamboo, coconut plantations reported. iii) Several roads/canals/houses flooded. iv) More than 500 people shifted to the relief camps. v) Extensive damage to agricultural crops/land reported. vi) Several cable lines damaged. vii) Many trees/electric poles uprooted causing traffic disruption and also fell over buildings, vehicles causing damage to the property. viii) Massive damage to the house hold articles reported. ix) Number of boats, boat nets and fishing equipments drowned.",IMD
UEI-IMD-FL-2013-0073,6/17/2013,6/17/2013,0,Heavy rains,Kasaragod,KERALA,NA,NA,NA,NA,2,2,NA,NA,2 persons died and 2 others injured due to landslide.,Landslide reported.,IMD
UEI-IMD-FL-2013-0074,6/24/2013,6/27/2013,3,Heavy rains,Kasaragod and Wayanad,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) About 40 houses partially damaged. ii) About 590 people shifted to relief camps. iii) 6 wells collapsed causing a loss of worth Rs. 47,000/-only. iv) Extensive damage to agricultural crops reported. v) Dried bamboo plantations fell across NH roads causing traffic disruption. vi) Madakkal suspension bridge in Kasargode collapsed.",IMD
UEI-IMD-FL-2013-0075,6/25/2013,6/29/2013,4,Heavy rains,"Idukki, Ernakulam, Kollam, Kozhikode,Palakkad and Pathanamthitta",KERALA,NA,NA,NA,NA,3,NA,NA,NA,2 persons died due to wall collapse in Pathananthitta while one person died due to landslide in Munnar.,Ernakulam: i) 16 houses fully and 326 houses partially damaged. ii) About 1360 people shifted to the relief camps. iii) 68.7 hectares of agricultural land submerged. iv) Loss of worth Rs. 5.37 crores reported. Kollam: i) One house fully and 20 houses partially damaged. ii) 3 wells caved in. Kozhikode: iii) 45 houses fully and and 2 partially damaged. iv) 6 boats completely and 1 boat partially damaged. v) About 30 boats drowned at Chaliyar coast. Palakkad: i) 12 houses damaged causing a loss of worth Rs. 1.2 lakhs reported. ii) 6.75 hectares of agricultural land damaged causing a loss of worth Rs. 1.32 crores reported. Pathanamthitta: i) Extensive damage to rubber plantations reported. ii) Punalur-Muvattapuzha State highway submerged causing vehicular disruption.,IMD
UEI-IMD-FL-2013-0076,6/27/2013,6/29/2013,2,Heavy rains,Alappuzha,KERALA,NA,NA,NA,NA,10,NA,NA,NA,7 persons died and 3 others drowned.,"i) 33 houses fully and 633 houses partially damaged causing a loss of worth Rs. 88.89 lakhs. ii) Alappuzha-Changanacherry road inundated causing traffic disruption. iii) About 15 villages inundated. iv) Few houses washed away. v) About 4.5 lakh people shifted in relief camps. vi) More than 200 hectares of paddy fields submerged. vii) About 3,300 hectares of agricultural land affected. causing a loss of worth Rs. 3.8 crore.",IMD
UEI-IMD-FL-2013-0077,1/7/2013,4/7/2013,90,Heavy rains,Wayanad,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mananthavady Tehsil: i) Landslides reported. ii) One house partially damaged. iii) One well caved in. iv) Many bamboo grooves, rubber trees uprooted causing traffic disruption. v) Niravill bridge submerged. vi) Mainly tribal people and farmers affected. vii) Pollampara bridge damaged as it was submerged. Vythiri Tehsil: i) 56 houses partially and 3 houses completely damaged. ii) One well caved in. iii) 257 families shifted to 16 relief camps. iv) Rs. 7.89 lakhs worth loss reported.",IMD
UEI-IMD-FL-2013-0078,5/7/2013,12/7/2013,214,Heavy rains,Idukki and Thiruvananthapuram,KERALA,NA,NA,NA,NA,2,NA,NA,NA,i) 2 persons injured in Maruthankuzhy area as a tree fell over them. ii) Few livestock perished.,"Cheruthoni town in Idukki: i) Landslide reported. ii) 5 acres of standing crops washed away. Thiruvananthapuram: i) A tree fell over a house damaging it in Killimanoor town. ii) A tree fell over electric cable lines disrupting power supply. iii) Acacia, Jackfruit, coconut, rubber, teak trees uprooted fell over a transformer, one house and a shop compound wall, damaging/collapsing the structures and also damaging some vehicles. iv) Several trees uprooted fell over NH road disrupting traffic and damaging a temple, a school building and a cattle-shed. v) A well caved in. vi) Taluka hospital of Chrayankeezhu damaged as a tree fell over it. vii) Few houses damaged.",IMD
UEI-IMD-FL-2013-0079,11/7/2013,11/7/2013,0,Heavy rains,Wayanad,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mananthavady Tehsil: 1,90,000 banana plantations damaged. 8 hectares of ginger, 5 hectares of yam, 1118 arecanut trees, 336 rubber trees, 1.5 acres of paddy damaged causing Rs.2 crores worth loss reported.",IMD
UEI-IMD-FL-2013-0080,11/7/2013,7/13/2013,Diffing the dates,Heavy rains,"Alappuzha, Ernakulam, Kollam and Kottayam",KERALA,NA,NA,NA,NA,3,1,NA,NA,i) One person drowned in Kuttanad. ii) One person missing as fishing boat capsized in Kollam. iii) A girl drowned at Thiruchandoor. iv) In Ernakulam one person died as he fell into a flooded canal.,"Alappuzha: i) Coconut, banana plantations, tapioca, vegetables damaged. ii) 15,000 houses inundated. iii) About one lakh people shifted in relief camps.",IMD
UEI-IMD-FL-2013-0081,7/19/2013,7/26/2013,7,Heavy rains,Thiruvananthapuram,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) 40 houses damaged.  ii) Crops and rubber, banana plantations damaged. iii) Jack, teak and coconut trees uprooted. iv) Loss of worth one lakh rupees reported.",IMD
UEI-IMD-FL-2013-0082,7/23/2013,7/23/2013,0,Heavy rains,Ernakulam,KERALA,NA,NA,NA,NA,4,2,NA,NA,4 persons died and 2 others injured in a landslide.,NA,IMD
UEI-IMD-FL-2013-0083,7/29/2013,7/29/2013,0,Heavy rains,Pathanamthitta,KERALA,NA,NA,NA,NA,1,NA,NA,NA,One person died.,NA,IMD
UEI-IMD-FL-2013-0084,1/8/2013,2/8/2013,31,Heavy rains,Wayanad,KERALA,NA,NA,NA,NA,NA,2,NA,NA,2 persons injured in Kalpetta town.,"Taruvana town: i) Thousands of paddy, banana, arecanut, coconut, rubber plantations submerged and damaged. ii) 841.30 ha. of crops damaged. iii) 4 houses partially damaged. Kalpetta town: i) 17 houses completely while 14 houses partially damaged. ii) 361 families shifted to relief camps. Mananthavady Tehsil: i) 18 families with 133 people shifted to relief camps. ii) Several trees uprooted causing traffic disruption. iii) Cherupuzha bridge submerged. iv) One house damaged fully and other partially. Padinjarathara town: i) Agricultural crops, worth lakhs rupees damaged. ii) Thousands of banana, paddy, arecanut, coconut plantations submerged. iii) Several families shifted to safer places.",IMD
UEI-IMD-FL-2013-0085,2/8/2013,6/8/2013,120,Heavy rains,Thiruvananthapuram,KERALA,NA,NA,NA,NA,NA,1,NA,NA,One person injured as tree fell on him in Kilimanoor.,"Kilimanoor, Kallara, Pangode and Chirayankeezhu towns: i) Several rubber, banana, coconut and agricultural crops damaged. ii) Several trees uprooted damaging houses. 60 houses damaged partially in Neyyattinkkara, Nedumangad and Chirayankeezhu tehsils. iii) In Pangode 3 hectares of Mangiyam trees uprooted. iv) Wall of a well caved in. v) Several electric lines damaged in Kadakkavoor and Vakkom areas.",IMD
UEI-IMD-FL-2013-0086,4/8/2013,8/8/2013,122,Heavy rains,"Alappuzha, Ernakulam and Idukki,",KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alappuzha: i) One house washed away and several houses inundated. ii) About 1.8 lakh people shifted to 183 relief camps. iii) Damage to 1600 acres of agricultural crops reported. Ernakulam: i) Kothamangalam town and Kochi airport runway flooded. ii) Landslide at Blavana Pooyamkutty road reported. iii) About 14,043 people shifted to 121 relief camps. iv) Manikandanchal bridge, Mahadeva temple submerged in Aluva  .Idukki: i) About 10 shops buried in landslide. ii) Few houses and buildings collapsed. iii) 240 people shifted to 5 relief camps. iv) Landslide reported near Kulamavu and around 4 acres of land washed away. v) A hill caved down around 600 feet causing damage to agricultural crops. vi) Land caved in and roads blocked causing road traffic disruption.",IMD
UEI-IMD-FL-2013-0087,10/8/2013,8/16/2013,Diffing the dates,Heavy rains,Wayanad,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Landslide reported. ii) Acres of paddy fields damaged. iii) Thalasserry-Mananthavady road completely damaged disrupting vehicular traffic,IMD
UEI-IMD-FL-2013-0088,1/9/2013,1/9/2013,0,Heavy rains,Idukki,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) 15 acres of paddy fields washed away in Mangad. ii) Loss of worth lakh rupees reported.,IMD
UEI-IMD-FL-2013-0089,12/9/2013,12/9/2013,0,Heavy rains,Wayanad,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Padumutty bridge collapsed. ii) 2 houses damaged partially. iii) Several houses inundated. iv) Landslide reported. v) People shifted to safer places.,IMD
UEI-IMD-FL-2013-0090,9/17/2013,9/17/2013,0,Heavy rains,Thiruvananthapuram,KERALA,NA,NA,NA,NA,NA,3,NA,NA,3 persons injured.,"i) In Venjaranmood village, a tree fell and broke 11KV electric line causing traffic disruption. ii) Some vehicles damaged.",IMD
UEI-IMD-FL-2013-0091,6/26/2013,6/27/2013,1,Heavy rains,"Betul, Rajgarh, Sagar, Sehore and Ujjain",MADHYA PRADESH,NA,NA,NA,NA,7,NA,NA,NA,7 persons swept away.,Trees/poles uprooted disrupting electricity/ telephone services.,IMD
UEI-IMD-FL-2013-0092,4/7/2013,4/7/2013,0,Heavy rains,Indore,MADHYA PRADESH,NA,NA,NA,NA,5,NA,NA,NA,One girl drowned in manholes and 2 others swept away.,NA,IMD
UEI-IMD-FL-2013-0093,7/13/2013,7/16/2013,3,Heavy rains,Betul and Harda,MADHYA PRADESH,NA,NA,NA,NA,12,NA,NA,NA,i) 10 persons swept away in the flood water of Bukakhedi river in Betul. ii) 2 boys swept away in Harda.,Low lying areas and crop land inundated.,IMD
UEI-IMD-FL-2013-0094,8/23/2013,8/23/2013,0,Heavy rains,sehore,MADHYA PRADESH,NA,NA,NA,NA,1,NA,NA,NA,One girl swept away.,i) Damage to few houses reported. ii) More than 100 villages submerged. iii) Low lying areas inundated.,IMD
UEI-IMD-FL-2013-0095,11/2/2013,11/2/2013,0,Heavy rains,Jalgaon and Nanded,MAHARASHTRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Damage to wheat, banana, pappya, chilly crops reported.",IMD
UEI-IMD-FL-2013-0096,2/23/2013,2/23/2013,0,Heavy rains,Wardha,MAHARASHTRA,NA,NA,NA,NA,1,NA,NA,NA,One person died as a tree fell on him.,"Damage to oranges, mosambi, wheat, gram, chilly and vegetables in some hectares of area reported.",IMD
UEI-IMD-FL-2013-0097,4/17/2013,4/17/2013,0,Heavy rains,Jalgaon,MAHARASHTRA,NA,NA,NA,NA,1,NA,NA,NA,One woman died as a tree fell on her.,"Banana, cotton and jawar plantations damaged.",IMD
UEI-IMD-FL-2013-0098,4/23/2013,4/23/2013,0,Heavy rains,Nagpur,MAHARASHTRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"About 50,000 sacks of soya and wheat grains affected.",IMD
UEI-IMD-FL-2013-0099,7/6/2013,7/6/2013,0,Heavy rains,Pune,MAHARASHTRA,NA,NA,NA,NA,2,NA,NA,NA,"One woman along with her daughter swept away at Shindewadi, Katraj.",NA,IMD
UEI-IMD-FL-2013-0100,9/6/2013,9/6/2013,0,Heavy rains,Mumbai,MAHARASHTRA,NA,NA,NA,NA,2,NA,NA,NA,2 persons died in Bhandup and 9 others injured.,i) Low lying areas flooded. ii) Trees/poles uprooted causing vehicular and traffic disruption.,IMD
UEI-IMD-FL-2013-0101,6/16/2013,6/18/2013,2,Heavy rains,Pune and Thane,MAHARASHTRA,NA,NA,NA,NA,6,2,NA,NA,i) 3 women died due to wall collapse inPune. ii) 3 labours died and 2 others injured in the landslide at Turbhe.,i) Low lying areas flooded. ii) Trees/poles uprooted causing vehicular and traffic disruption.,IMD
UEI-IMD-FL-2013-0102,6/22/2013,6/28/2013,6,Flood,"Akola, Amaravati, Bhandara, Buldhana, Chandrapur, Gondia, Nagpur, Wardha,Washim and Yavatmal",MAHARASHTRA,NA,NA,NA,NA,3,NA,NA,NA,3 persons died.,i) Extensive damage to the standing and paddy crops reported. ii) Bridges washed away and many huts submerged. iii)About 50 houses and 3 cattle sheds damaged.,IMD
UEI-IMD-FL-2013-0103,3/7/2013,3/7/2013,0,Heavy rains,Raigad and Ratnagiri,MAHARASHTRA,NA,NA,NA,NA,5,NA,NA,NA,5 persons died and other swept away.,i) Low lying areas flooded. ii) Trees/poles uprooted causing vehicular and traffic disruption.,IMD
UEI-IMD-FL-2013-0104,7/14/2013,7/19/2013,5,Flood,"Amaravati, Chandrapur, Gondia,Nagpur, Wardha, Washim and Yavatmal",MAHARASHTRA,NA,NA,NA,NA,47,NA,NA,1000,"i) About 30 persons died, 16 others drowned and one swept away. ii) About 1000 livestock perished.","i) About 330 houses fully and 2000 kachcha houses partially damaged. ii) Extensive damage to the soyabean, cotton, tur, rice in thousands of hectares reported. iii) Many areas submerged. iv) Number of families shifted to safer places.",IMD
UEI-IMD-FL-2013-0105,7/24/2013,7/24/2013,0,Heavy rains,Buldhana,MAHARASHTRA,NA,NA,NA,NA,1,NA,NA,NA,"One person swept away in Gundha village, Lonar tehsil.",Damage to Kharif crops reported in some villages.,IMD
UEI-IMD-FL-2013-0106,1/8/2013,3/8/2013,59,Heavy rains,"Amaravati, Chandrapur, Nagpur, Wardha and Yavatmal",MAHARASHTRA,NA,NA,NA,NA,14,18,NA,NA,"9 persons died, 5 others swept away and 18 others injured.","i) Low lying areas and crop land inundated. ii) Railway tracks, vehicles, roads inundated. iii) About 5.42 lakh hectares of land of standing crops washed away in Nagpur district. iv) About 2.5 lakh hectares of crops damaged in Chandrapur district. v) About 5000 houses damaged/collapsed. vi) Many places inundated and many families shifted to safer places. vii) Road traffic/ electricity/ telecommunication services disrupted. viii) More than hundreds of a cattle sheds damaged. ix) Estimated loss of about 100 crore rupees reported.",IMD
UEI-IMD-FL-2013-0107,9/19/2013,9/19/2013,0,Heavy rains,Pune,MAHARASHTRA,NA,NA,NA,NA,4,NA,NA,NA,4 persons died as a house collapsed in Yerawada area.,Road traffic/ electricity/ telecommunication services disrupted.,IMD
UEI-IMD-FL-2013-0108,9/26/2013,9/26/2013,0,Heavy rains,Nandurbar,MAHARASHTRA,NA,NA,NA,NA,8,NA,NA,NA,8 persons died and few others injured due to massive landslide.,NA,IMD
UEI-IMD-FL-2013-0109,11/10/2013,11/10/2013,0,Heavy rains,Jalgaon,MAHARASHTRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Low lying areas flooded. ii) Trees/poles uprooted causing vehicular and traffic disruption.,IMD
UEI-IMD-FL-2013-0110,11/5/2013,11/5/2013,0,Heavy rains,Aizwal,MIZORAM,NA,NA,NA,NA,17,NA,NA,NA,17 persons died in a massive landslide.,Damage to some buildings reported.,IMD
UEI-IMD-FL-2013-0111,12/7/2013,12/7/2013,0,Heavy rains,Kohima,NAGALAND,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Landslides disrupt vehicular movement on NH-29. ii) A large number of vehicles were stranded on NH-29 near Phesama village,IMD
UEI-IMD-FL-2013-0112,2/8/2013,2/8/2013,0,Heavy rains,Bhadrak,ODISHA,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,NA,IMD
UEI-IMD-FL-2013-0113,10/8/2013,10/8/2013,0,Heavy rains,Koraput,ODISHA,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,NA,IMD
UEI-IMD-FL-2013-0114,8/23/2013,8/23/2013,0,Heavy rains,Bhadrak,ODISHA,NA,NA,NA,NA,1,NA,NA,NA,One person died.,NA,IMD
UEI-IMD-FL-2013-0115,9/16/2013,9/16/2013,0,Heavy rains,Cuttack,ODISHA,NA,NA,NA,NA,1,NA,NA,NA,One person died.,NA,IMD
UEI-IMD-FL-2013-0116,2/16/2013,2/16/2013,0,Heavy rains,"Banswara, Dholpur and Sawai  Madhopur",RAJASTHAN,NA,NA,NA,NA,3,NA,NA,NA,3 person died,NA,IMD
UEI-IMD-FL-2013-0117,8/6/2013,8/6/2013,0,Heavy rains,"Kota, Tonk and Udaipur",RAJASTHAN,NA,NA,NA,NA,6,NA,NA,NA,6 persons died due to wall collapse.,Road traffic/ electricity/ telecommunication services disrupted.,IMD
UEI-IMD-FL-2013-0118,11/6/2013,11/6/2013,0,Heavy rains,Jaipur ,RAJASTHAN,NA,NA,NA,NA,1,NA,NA,NA,one person died,NA,IMD
UEI-IMD-FL-2013-0119,11/9/2013,11/9/2013,0,Heavy rains,Chennai and Tiruvallur,TAMIL NADU,NA,NA,NA,NA,4,NA,NA,NA,4 person died,i) Several trees/electric poles uprooted causing traffic disruption. ii) Roof of some houses blown away.,IMD
UEI-IMD-FL-2013-0120,10/15/2013,10/15/2013,0,Heavy rains,Coimbatore and Cuddalore,TAMIL NADU,NA,NA,NA,NA,2,NA,NA,NA,2 persons died due to wall collapse.,NA,IMD
UEI-IMD-FL-2013-0121,10/20/2013,10/20/2013,0,Heavy rains,Coimbatore and Tiruvannamalai,TAMIL NADU,NA,NA,NA,NA,1,NA,NA,NA,One person died due to wall collapse and other washed away.,NA,IMD
UEI-IMD-FL-2013-0122,11/16/2013,11/16/2013,0,Heavy rains,"Cuddalore, Dharamapuri, Kanyakumari, Nagapattinam, Thanjavur, Thiruvarur and  Villupuram",TAMIL NADU,NA,NA,NA,NA,11,NA,NA,7,i) 11 persons died in different incidences. ii) 7 cattle heads perished.,i) About 35 houses fully and 150 houses partially damaged. ii) Damage to banana plantations reported. iii) About 100 electric poles damaged in Sirkazhi town. iv) Roof of a school building blown away. v) 2500 acres of salt pans submerged.,IMD
UEI-IMD-FL-2013-0123,11/25/2013,11/25/2013,0,Heavy rains,Pudukkottai,TAMIL NADU,NA,NA,NA,NA,3,NA,NA,NA,3 person died,NA,IMD
UEI-IMD-FL-2013-0124,12/13/2013,12/13/2013,0,Heavy rains,Nagapattinam,TAMIL NADU,NA,NA,NA,NA,1,NA,NA,NA,one fisherman lost his life.,"About 6,000 acres of paddy crops damaged.",IMD
UEI-IMD-FL-2013-0125,12/6/2013,12/6/2013,0,Heavy rains,Kannauj,UTTAR PRADESH,NA,NA,NA,NA,10,NA,NA,NA,10 person died,i) Low lying areas and crop land inundated. ii) Several trees/electric poles uprooted causing traffic disruption. iii) Roof of some houses blown away.,IMD
UEI-IMD-FL-2013-0126,6/17/2013,6/17/2013,0,Heavy rains,Muzaffar Nagar,UTTAR PRADESH,NA,NA,NA,NA,1,3,NA,NA,One woman died and 3 others injured due tohouse collapse.,i) Several trees/electric poles uprooted causing traffic disruption. ii) Roof of some houses blown away.,IMD
UEI-IMD-FL-2013-0127,6/19/2013,6/19/2013,0,Heavy rains,Barabanki and Bahraich,UTTAR PRADESH,NA,NA,NA,NA,2,NA,NA,NA,2 person died,NA,IMD
UEI-IMD-FL-2013-0128,6/25/2013,6/30/2013,5,Heavy rains,"Faizabad, Gonda and sitapur",UTTAR PRADESH,NA,NA,NA,NA,12,NA,NA,NA,About 12 persons died in different incidences,i) Damage to some houses reported. ii) Low lying areas flooded. iii) Road/rail traffic disrupted..,IMD
UEI-IMD-FL-2013-0129,7/15/2013,7/15/2013,0,Heavy rains,Faizabad,UTTAR PRADESH,NA,NA,NA,NA,1,2,NA,NA,One person died and 2 others injured,NA,IMD
UEI-IMD-FL-2013-0130,7/26/2013,7/26/2013,0,Heavy rains,Balrampur,UTTAR PRADESH,NA,NA,NA,NA,2,NA,NA,NA,2 person died,NA,IMD
UEI-IMD-FL-2013-0131,8/17/2013,8/17/2013,0,Heavy rains,Kannauj,UTTAR PRADESH,NA,NA,NA,NA,15,3,NA,NA,15 persons died and 3 others injured.,i) Damage to some houses reported. ii) Low lying areas flooded. iii) Road/rail traffic disrupted.,IMD
UEI-IMD-FL-2013-0132,6/14/2013,6/18/2013,4,"Heavy to very rainfall/flash floods (Saraswati and Mandakini Rivers and its tributaries triggered by very heavy rainfall and lake burst), cloudburst on Jun16 &17 Jun, massive landslides and avalanches reported at multiple places.","12 out of 13 districts affected badly and worst affected Chamoli, Pithoragarh, Rudraprayag and Uttarkashi districts.",UTTARAKHAND,NA,NA,NA,NA,5000,NA,NA,NA,"i) About 5,000 people- the locals, the pilgrims, the tourists, trakers died/missing. ii) More than thousand livestock perished.","i) More than thousands of pilgrims of Char Dham on the Gangotri and Yamunotri routes, Hemkund, Roopkunda and tourists/trakers of Valley of flowers stranded. ii) Lakhs of people shifted to safer places. iii) Many roads including state highways, infrastructures, villages washed away/damaged. iv) Many Hydroelectric projects, houses, water schemes, bridges, commercial and residential buildings, hotels, rest houses, shops, temples, telephone towers, vehicles destroyed/ drifted in the floods of rivers. v) Damage to the cash crops especially apple crops reported.",IMD
UEI-IMD-FL-2013-0133,5/24/2013,5/25/2013,1,Heavy rains,South Andaman,ANDAMAN & NICOBAR ISLANDS,NA,NA,NA,NA,1,NA,NA,NA,One person died.,Damage to the old and thatched houses reported.,IMD
UEI-IMD-FL-2013-0134,6/16/2013,6/17/2013,1,Heavy rains,Delhi,NEW DELHI,NA,NA,NA,NA,NA,NA,NA,NA,One person swept away in Yamuna river.,NA,IMD
UEI-IMD-FL-2013-0135,11/25/2013,11/25/2013,0,Heavy rains,Puducherry,PUDUCHERRY,NA,NA,NA,NA,3,NA,NA,NA,3 persons died due to wall collapse.,NA,IMD
